Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Goals,Shots,SoT,SoT%,G/Sh,ShoFK,ShoPK,PKatt,PasTotAtt,PasTotCmp%,PasShoAtt,PasShoCmp%,PasMedAtt,PasMedCmp%,PasLonAtt,PasLonCmp%,Assists,PPA,CrsPA,PasProg,PasAtt,PasCrs,TI,CK,PasCmp,SCA,GCA,Tkl,TklWon,TklDri%,TklDriPast,BlkSh,Int,Clr,Touches,ToAtt,ToSuc,ToSuc%,ToTkl,Carries,CarProg,Car3rd,Rec,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,Recov,AerWon,AerLost,AerWon%
Brenden Aaronson,USA,MFFW,Leeds United,Premier League,22,2000,20,1596,1,1.53,0.28,18.5,0.04,0.11,0,0,31,74.9,16.2,81.9,7.74,76.6,2.37,38.1,0.11,0.45,0.11,3.22,31,2.54,0.23,1.47,23.2,3.62,0.28,1.64,0.51,34.6,0.96,0.11,0.06,0.28,44,3.73,1.19,31.8,1.75,26.7,1.53,1.07,30.2,0.11,0,0.62,2.26,0.17,2.54,0.51,0,0,4.86,0.34,1.19,22.2
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,22,1980,0,0.86,0.05,5.3,0,0,0,0,47.2,81.5,12.9,84.5,25.7,90.1,7,53.9,0.05,0.09,0,4.5,47.2,0.18,0.09,0,38.5,1.14,0.18,2.5,1.59,78.4,0.36,0.77,2,2.91,59.2,0.68,0.32,46.7,0.36,40,0.55,0.23,34.5,0.09,0,1.32,0.5,0.05,0.18,1.59,0,0,6.64,2.18,1.23,64
Himad Abdelli,FRA,MFFW,Angers,Ligue 1,23,1999,14,770,0,1.05,0.35,33.3,0,0,0,0,49.5,80.8,22,84.1,18.7,82.6,5.93,74.5,0,1.74,0.35,6.4,49.5,1.05,0.81,0,40,2.67,0,2.91,1.4,60.9,1.05,0.12,0.93,0.93,62.6,3.84,2.09,54.5,1.51,48.5,2.56,2.56,43.4,0.12,0,1.74,1.28,0,1.05,1.4,0,0,8.14,0.93,1.05,47.1
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,20,1799,1,0.6,0.15,25,0.08,0,0,0,64.9,91.6,31.8,93.2,26.2,94.3,4.3,77.9,0,0.55,0.1,5.6,64.9,0.35,0.1,0,59.5,1.6,0,1.5,0.8,65.4,0.45,0.35,1.1,0.8,73.3,1.25,0.7,56,0.4,61,1.25,1.95,56.5,0.15,0,2.45,1.35,0,0.35,0.8,0,0,6.6,0.5,0.5,50
Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,15,1165,0,0.31,0,0,0,0,0,0,43.4,87.3,19.4,92.4,17.8,88.6,3.95,66.7,0.08,0.39,0,5.04,43.4,0.23,0,0,37.9,1.24,0.08,3.8,2.02,40.5,1.94,0.23,1.16,1.55,54.7,0.93,0.54,58.3,0.31,41,0.47,0.93,36.4,0.16,0,0.93,1.01,0,0.23,2.02,0,0,6.51,0.31,0.39,44.4
Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,1,11,0,0,0,0,0,0,0,0,30,66.7,10,100,10,100,10,0,0,0,0,0,30,0,0,0,20,0,0,10,10,0,0,0,0,0,50,0,0,0,0,10,0,0,10,0,0,0,0,0,0,10,0,0,10,0,10,0
Matthis Abline,FRA,FWMF,Auxerre,Ligue 1,19,2003,5,185,1,4.29,1.43,33.3,0.11,0,0,0,10,71.4,2.38,60,5.24,90.9,0.95,50,0,1.43,0.48,1.9,10,0.95,0,0,7.14,0.48,0,1.43,0.48,0,0.95,0,0.48,0.48,25.7,1.43,0.48,33.3,0.95,17.1,1.43,0,19,0,0,0.95,1.43,0.48,0.95,0.48,0,0,0.48,1.43,1.43,50
Matthis Abline,FRA,FWMF,Rennes,Ligue 1,19,2003,11,107,1,5,1.67,33.3,0.17,0,0,0,12.5,46.7,5,50,3.33,75,0.83,100,0,0.83,0,1.67,12.5,1.67,0,0,5.83,5.83,1.67,0.83,0.83,100,0,0,1.67,0.83,30.8,0,0,0,0,22.5,3.33,0.83,22.5,0,0,2.5,4.17,0.83,1.67,0.83,0.83,0,1.67,0.83,3.33,20
Abner,BRA,DF,Betis,La Liga,22,2000,4,272,0,0.67,0.33,50,0,0,0,0,54.3,71.8,23.3,88.6,20,66.7,5.67,41.2,0,0.33,0,3.33,54.3,1.33,11.3,0,39,1,0.33,2.67,2.33,85.7,0.33,0.67,2,2.67,65.7,1.33,0.33,25,1,30.3,0.67,0.67,35,0,0,0.67,0.67,0,1.33,2.33,0,0,6,1,2,33.3
Zakaria Aboukhlal,MAR,FWMF,Toulouse,Ligue 1,22,2000,22,1507,5,2.75,1.02,37,0.11,0,0,0,25.3,69.7,14.9,79,6.17,71.8,0.84,28.6,0.24,0.42,0.06,1.8,25.3,0.96,0.78,0,17.6,2.34,0.24,1.14,0.72,22.7,1.02,0.06,0.84,0.66,38,3.17,1.02,32.1,1.86,28.6,3.05,1.08,27.1,0.18,0,1.56,1.8,0.72,0.96,0.72,0,0,4.43,0.42,1.32,24.1
